,Method,Metric,Train,Test,Threshold,Rep
29,sse,crps,1599.16,1535.79,0.1,4
30,sse,dss,2679.46,2572.24,0.1,4
31,sse,is1,9002.81,9053.58,0.1,4
32,crps,sse,13186.11,12761.63,0.3,4
33,crps,crps,1629.24,1551.69,0.3,4
34,crps,dss,2892.56,2723.31,0.3,4
35,crps,is1,9124.58,9150.88,0.3,4
36,dss,sse,14346.79,14605.52,0.3,4
37,dss,crps,1691.49,1643.37,0.3,4
38,dss,dss,2752.5,2634.69,0.3,4
39,dss,is1,9195.95,9333.6,0.3,4
40,is1,sse,13115.04,13391.19,0.3,4
41,is1,crps,1623.47,1583.3,0.3,4
42,is1,dss,2891.26,2738.75,0.3,4
43,is1,is1,9115.24,9193.41,0.3,4
44,sse,sse,13043.93,13361.72,0.3,4
45,sse,crps,1614.61,1584.77,0.3,4
46,sse,dss,2893.62,2764.4,0.3,4
47,sse,is1,9059.39,9281.6,0.3,4
48,crps,sse,13115.04,13391.19,0.5,4
49,crps,crps,1623.47,1583.3,0.5,4
50,crps,dss,2891.26,2738.75,0.5,4
51,crps,is1,9115.24,9193.41,0.5,4
52,dss,sse,14346.79,14605.52,0.5,4
53,dss,crps,1691.49,1643.37,0.5,4
54,dss,dss,2752.5,2634.69,0.5,4
55,dss,is1,9195.95,9333.6,0.5,4
56,is1,sse,13115.04,13391.19,0.5,4
57,is1,crps,1623.47,1583.3,0.5,4
58,is1,dss,2891.26,2738.75,0.5,4
59,is1,is1,9115.24,9193.41,0.5,4
60,sse,sse,13043.93,13361.72,0.5,4
61,sse,crps,1614.61,1584.77,0.5,4
62,sse,dss,2893.62,2764.4,0.5,4
63,sse,is1,9059.39,9281.6,0.5,4
64,crps,sse,13115.04,13391.19,0.8,4
65,crps,crps,1623.47,1583.3,0.8,4
66,crps,dss,2891.26,2738.75,0.8,4
67,crps,is1,9115.24,9193.41,0.8,4
68,dss,sse,18944.0,19978.22,0.8,4
69,dss,crps,1898.93,1896.97,0.8,4
70,dss,dss,2927.8,2834.18,0.8,4
71,dss,is1,9993.81,10366.39,0.8,4
72,is1,sse,13115.04,13391.19,0.8,4
73,is1,crps,1623.47,1583.3,0.8,4
74,is1,dss,2891.26,2738.75,0.8,4
75,is1,is1,9115.24,9193.41,0.8,4
76,sse,sse,13043.93,13361.72,0.8,4
77,sse,crps,1614.61,1584.77,0.8,4
78,sse,dss,2893.62,2764.4,0.8,4
79,sse,is1,9059.39,9281.6,0.8,4
0,crps,sse,14827.71,10164.27,0.0,5
1,crps,crps,1678.45,1430.79,0.0,5
2,crps,dss,2750.99,2491.43,0.0,5
3,crps,is1,9529.82,8445.69,0.0,5
4,dss,sse,15789.26,10248.27,0.0,5
5,dss,crps,1719.04,1442.1,0.0,5
6,dss,dss,2775.54,2499.95,0.0,5
7,dss,is1,9614.07,8451.64,0.0,5
