,Method,Metric,Train,Test,Threshold,Rep
73,is1,crps,942.79,598.39,0.8,3
74,is1,dss,2051.34,1316.41,0.8,3
75,is1,is1,6168.52,3861.08,0.8,3
76,sse,sse,1660.24,1072.87,0.8,3
77,sse,crps,837.64,530.71,0.8,3
78,sse,dss,852.37,564.78,0.8,3
79,sse,is1,6225.5,3882.29,0.8,3
0,crps,sse,376.86,297.46,0.0,4
1,crps,crps,383.57,255.52,0.0,4
2,crps,dss,-1182.67,-614.77,0.0,4
3,crps,is1,5091.58,3225.25,0.0,4
4,dss,sse,378.13,296.71,0.0,4
5,dss,crps,385.57,254.92,0.0,4
6,dss,dss,-1199.77,-627.66,0.0,4
7,dss,is1,5091.99,3226.26,0.0,4
8,is1,sse,476.13,363.16,0.0,4
9,is1,crps,419.25,278.43,0.0,4
10,is1,dss,-812.24,-323.87,0.0,4
11,is1,is1,5140.72,3303.29,0.0,4
12,sse,sse,376.47,296.77,0.0,4
13,sse,crps,384.43,255.45,0.0,4
14,sse,dss,-1195.05,-637.33,0.0,4
15,sse,is1,5092.77,3226.38,0.0,4
16,crps,sse,380.19,295.94,0.1,4
17,crps,crps,387.55,253.51,0.1,4
18,crps,dss,-1146.5,-631.8,0.1,4
19,crps,is1,5097.49,3222.24,0.1,4
20,dss,sse,380.19,295.94,0.1,4
21,dss,crps,387.55,253.51,0.1,4
22,dss,dss,-1146.5,-631.8,0.1,4
23,dss,is1,5097.49,3222.24,0.1,4
24,is1,sse,755.8,512.17,0.1,4
25,is1,crps,495.52,319.8,0.1,4
26,is1,dss,327.6,276.4,0.1,4
27,is1,is1,5200.74,3287.78,0.1,4
28,sse,sse,380.19,295.94,0.1,4
29,sse,crps,387.55,253.51,0.1,4
30,sse,dss,-1146.5,-631.8,0.1,4
31,sse,is1,5097.49,3222.24,0.1,4
32,crps,sse,1635.52,1058.34,0.3,4
33,crps,crps,836.09,527.49,0.3,4
34,crps,dss,856.46,552.11,0.3,4
35,crps,is1,6148.85,3873.84,0.3,4
36,dss,sse,1635.52,1058.34,0.3,4
37,dss,crps,836.09,527.49,0.3,4
38,dss,dss,856.46,552.11,0.3,4
39,dss,is1,6148.85,3873.84,0.3,4
40,is1,sse,2217.66,1340.89,0.3,4
41,is1,crps,961.01,589.81,0.3,4
42,is1,dss,2093.4,1293.5,0.3,4
43,is1,is1,6137.44,3854.51,0.3,4
44,sse,sse,1635.52,1058.34,0.3,4
45,sse,crps,836.09,527.49,0.3,4
46,sse,dss,856.46,552.11,0.3,4
47,sse,is1,6148.85,3873.84,0.3,4
48,crps,sse,1635.52,1058.34,0.5,4
49,crps,crps,836.09,527.49,0.5,4
50,crps,dss,856.46,552.11,0.5,4
51,crps,is1,6148.85,3873.84,0.5,4
52,dss,sse,1635.52,1058.34,0.5,4
53,dss,crps,836.09,527.49,0.5,4
