,Method,Metric,Train,Test,Threshold,Rep
25,is1,crps,1494.38,1523.43,0.1,2
26,is1,dss,2065.33,2145.34,0.1,2
27,is1,is1,4726.41,5092.92,0.1,2
28,sse,sse,17004.81,17557.04,0.1,2
29,sse,crps,1463.27,1520.52,0.1,2
30,sse,dss,2264.54,2278.89,0.1,2
31,sse,is1,5232.85,5552.15,0.1,2
32,crps,sse,16960.44,17435.33,0.3,2
33,crps,crps,1356.52,1418.55,0.3,2
34,crps,dss,1957.88,2015.39,0.3,2
35,crps,is1,4667.65,5063.39,0.3,2
36,dss,sse,21257.53,21007.9,0.3,2
37,dss,crps,1563.21,1543.93,0.3,2
38,dss,dss,2039.71,2026.62,0.3,2
39,dss,is1,4979.67,5162.11,0.3,2
40,is1,sse,20417.05,20023.62,0.3,2
41,is1,crps,1494.38,1523.43,0.3,2
42,is1,dss,2065.33,2145.34,0.3,2
43,is1,is1,4726.41,5092.92,0.3,2
44,sse,sse,17004.81,17557.04,0.3,2
45,sse,crps,1463.27,1520.52,0.3,2
46,sse,dss,2264.54,2278.89,0.3,2
47,sse,is1,5232.85,5552.15,0.3,2
48,crps,sse,17004.81,17557.04,0.5,2
49,crps,crps,1463.27,1520.52,0.5,2
50,crps,dss,2264.54,2278.89,0.5,2
51,crps,is1,5232.85,5552.15,0.5,2
52,dss,sse,21257.53,21007.9,0.5,2
53,dss,crps,1563.21,1543.93,0.5,2
54,dss,dss,2039.71,2026.62,0.5,2
55,dss,is1,4979.67,5162.11,0.5,2
56,is1,sse,20417.05,20023.62,0.5,2
57,is1,crps,1494.38,1523.43,0.5,2
58,is1,dss,2065.33,2145.34,0.5,2
59,is1,is1,4726.41,5092.92,0.5,2
60,sse,sse,17004.81,17557.04,0.5,2
61,sse,crps,1463.27,1520.52,0.5,2
62,sse,dss,2264.54,2278.89,0.5,2
63,sse,is1,5232.85,5552.15,0.5,2
64,crps,sse,17004.81,17557.04,0.8,2
65,crps,crps,1463.27,1520.52,0.8,2
66,crps,dss,2264.54,2278.89,0.8,2
67,crps,is1,5232.85,5552.15,0.8,2
68,dss,sse,21257.53,21007.9,0.8,2
69,dss,crps,1563.21,1543.93,0.8,2
70,dss,dss,2039.71,2026.62,0.8,2
71,dss,is1,4979.67,5162.11,0.8,2
72,is1,sse,20417.05,20023.62,0.8,2
73,is1,crps,1494.38,1523.43,0.8,2
74,is1,dss,2065.33,2145.34,0.8,2
75,is1,is1,4726.41,5092.92,0.8,2
76,sse,sse,17004.81,17557.04,0.8,2
77,sse,crps,1463.27,1520.52,0.8,2
78,sse,dss,2264.54,2278.89,0.8,2
79,sse,is1,5232.85,5552.15,0.8,2
0,crps,sse,20861.77,19729.4,0.0,3
1,crps,crps,1548.72,1491.65,0.0,3
2,crps,dss,2159.73,2141.57,0.0,3
3,crps,is1,4756.96,5134.62,0.0,3
4,dss,sse,21496.37,20606.97,0.0,3
5,dss,crps,1547.52,1515.31,0.0,3
6,dss,dss,2020.2,1994.48,0.0,3
7,dss,is1,4770.77,5172.65,0.0,3
8,is1,sse,20861.77,19729.4,0.0,3
9,is1,crps,1548.72,1491.65,0.0,3
10,is1,dss,2159.73,2141.57,0.0,3
11,is1,is1,4756.96,5134.62,0.0,3
12,sse,sse,17674.69,18030.46,0.0,3
13,sse,crps,1399.86,1411.37,0.0,3
14,sse,dss,1930.9,1977.82,0.0,3
15,sse,is1,4680.94,5078.63,0.0,3
16,crps,sse,20861.77,19729.4,0.1,3
17,crps,crps,1548.72,1491.65,0.1,3
18,crps,dss,2159.73,2141.57,0.1,3
19,crps,is1,4756.96,5134.62,0.1,3
20,dss,sse,21496.37,20606.97,0.1,3
21,dss,crps,1547.52,1515.31,0.1,3
22,dss,dss,2020.2,1994.48,0.1,3
23,dss,is1,4770.77,5172.65,0.1,3
24,is1,sse,20861.77,19729.4,0.1,3
25,is1,crps,1548.72,1491.65,0.1,3
26,is1,dss,2159.73,2141.57,0.1,3
27,is1,is1,4756.96,5134.62,0.1,3
28,sse,sse,17674.69,18030.46,0.1,3
29,sse,crps,1399.86,1411.37,0.1,3
30,sse,dss,1930.9,1977.82,0.1,3
31,sse,is1,4680.94,5078.63,0.1,3
32,crps,sse,20861.77,19729.4,0.3,3
33,crps,crps,1548.72,1491.65,0.3,3
34,crps,dss,2159.73,2141.57,0.3,3
35,crps,is1,4756.96,5134.62,0.3,3
36,dss,sse,21496.37,20606.97,0.3,3
37,dss,crps,1547.52,1515.31,0.3,3
38,dss,dss,2020.2,1994.48,0.3,3
39,dss,is1,4770.77,5172.65,0.3,3
40,is1,sse,20861.77,19729.4,0.3,3
41,is1,crps,1548.72,1491.65,0.3,3
42,is1,dss,2159.73,2141.57,0.3,3
43,is1,is1,4756.96,5134.62,0.3,3
44,sse,sse,16993.51,18498.97,0.3,3
45,sse,crps,1471.14,1544.12,0.3,3
46,sse,dss,2264.56,2304.41,0.3,3
47,sse,is1,4952.19,5904.92,0.3,3
48,crps,sse,20861.77,19729.4,0.5,3
49,crps,crps,1548.72,1491.65,0.5,3
50,crps,dss,2159.73,2141.57,0.5,3
51,crps,is1,4756.96,5134.62,0.5,3
